S,C,T,D,y1,y0
1.0,29.144263126393298,1.0,0.0,0.0,0.0
0.0,77.27239764051271,0.0,0.0,1.0,0.0
1.0,37.45148672063059,0.0,1.0,0.0,1.0
0.0,37.54046749385484,1.0,0.0,0.0,0.0
0.0,75.81722351674111,1.0,1.0,1.0,1.0
1.0,62.64191450827994,1.0,0.0,0.0,0.0
0.0,61.98746662700766,0.0,1.0,0.0,1.0
0.0,78.11049340747496,0.0,1.0,0.0,1.0
0.0,43.093316716739025,0.0,1.0,0.0,1.0
1.0,45.38798942996039,0.0,0.0,0.0,0.0
0.0,47.886290805112516,0.0,0.0,0.0,0.0
0.0,28.23498637882586,0.0,0.0,0.0,0.0
0.0,52.59414036095796,1.0,1.0,1.0,1.0
0.0,77.50211502624197,0.0,1.0,0.0,1.0
1.0,18.669602367295177,1.0,0.0,0.0,1.0
1.0,60.15196824580754,0.0,0.0,0.0,0.0
0.0,4.312793502825308,0.0,0.0,0.0,0.0
1.0,38.948317628810315,0.0,1.0,0.0,1.0
1.0,55.808455535569145,0.0,0.0,0.0,0.0
0.0,13.093855188843484,0.0,1.0,0.0,1.0
1.0,109.84370135857328,1.0,0.0,0.0,0.0
1.0,59.203115753219485,1.0,0.0,0.0,0.0
0.0,20.59715244080764,1.0,0.0,0.0,0.0
1.0,47.659806878530816,0.0,1.0,0.0,1.0
1.0,73.06462745998091,1.0,0.0,0.0,0.0
1.0,71.30638769558465,1.0,0.0,0.0,0.0
1.0,36.017276327742884,0.0,0.0,0.0,0.0
0.0,29.56043125246851,0.0,0.0,0.0,0.0
1.0,43.250392483339965,0.0,0.0,1.0,0.0
0.0,62.42202078725259,0.0,1.0,0.0,1.0
1.0,52.36190903946622,1.0,0.0,0.0,1.0
1.0,63.900387095046575,0.0,0.0,0.0,0.0
0.0,51.90842523134632,0.0,0.0,0.0,0.0
1.0,55.2246584317537,1.0,0.0,0.0,0.0
1.0,58.24452879161428,0.0,0.0,0.0,0.0
0.0,51.85760745826796,1.0,0.0,0.0,1.0
0.0,31.92818003709692,1.0,0.0,0.0,0.0
0.0,32.85210894545858,0.0,1.0,0.0,1.0
0.0,30.403388889784253,0.0,1.0,0.0,1.0
1.0,44.0835632631627,0.0,0.0,0.0,0.0
0.0,70.70825461047201,0.0,1.0,0.0,1.0
0.0,30.315599168689225,0.0,0.0,0.0,0.0
1.0,43.739846270548476,0.0,0.0,0.0,0.0
1.0,68.30751998315878,1.0,0.0,0.0,1.0
1.0,71.10107645031127,0.0,0.0,0.0,0.0
0.0,79.13896427152861,0.0,1.0,0.0,1.0
0.0,76.01628335917918,0.0,1.0,0.0,1.0
0.0,4.93702057360543,1.0,0.0,0.0,1.0
1.0,7.408337754803668,1.0,0.0,0.0,0.0
1.0,71.71016174312899,1.0,1.0,1.0,0.0
1.0,75.26658651445024,0.0,0.0,0.0,0.0
0.0,51.18488778207323,0.0,0.0,0.0,0.0
1.0,51.99815743698754,0.0,0.0,1.0,0.0
0.0,81.58823944888019,0.0,0.0,1.0,0.0
0.0,53.39717154142553,0.0,0.0,0.0,0.0
1.0,51.56187552073664,0.0,0.0,0.0,0.0
1.0,59.599212686667656,0.0,0.0,0.0,0.0
0.0,72.50167416000376,1.0,0.0,0.0,0.0
1.0,51.982219395283494,1.0,1.0,1.0,1.0
1.0,51.883648412841126,1.0,0.0,0.0,0.0
1.0,21.194619780717403,0.0,0.0,1.0,0.0
0.0,22.852715661912157,1.0,0.0,0.0,0.0
0.0,39.89666988057532,1.0,0.0,0.0,1.0
1.0,17.939063056368,0.0,0.0,0.0,0.0
1.0,76.24646475519643,0.0,0.0,0.0,0.0
0.0,54.047148310084154,1.0,0.0,0.0,0.0
0.0,75.91414757211383,0.0,1.0,0.0,1.0
1.0,55.79629136858085,0.0,0.0,0.0,0.0
0.0,92.2863020835618,0.0,1.0,1.0,1.0
1.0,56.36530182918304,0.0,0.0,0.0,0.0
0.0,66.80538407106641,0.0,1.0,1.0,1.0
0.0,86.92082806081395,0.0,1.0,0.0,1.0
0.0,87.73199447213727,0.0,0.0,0.0,0.0
0.0,48.13180456517621,0.0,0.0,0.0,0.0
0.0,43.836074264532144,1.0,0.0,0.0,0.0
1.0,46.39070413618864,1.0,1.0,1.0,0.0
1.0,86.40739958773099,0.0,0.0,0.0,0.0
0.0,29.323385982434615,1.0,0.0,0.0,0.0
1.0,39.785446059917135,0.0,0.0,1.0,0.0
1.0,68.41539460661646,0.0,0.0,0.0,0.0
1.0,41.62988598462131,0.0,0.0,0.0,0.0
0.0,37.916506707098875,1.0,0.0,0.0,1.0
0.0,35.541291056193444,1.0,0.0,0.0,0.0
1.0,68.50773368672748,0.0,0.0,0.0,0.0
1.0,42.70370288717908,0.0,0.0,1.0,0.0
1.0,64.13460500399958,1.0,0.0,0.0,0.0
0.0,47.032743208000554,0.0,0.0,0.0,0.0
0.0,32.620620289636584,1.0,0.0,0.0,0.0
0.0,63.92273384622069,1.0,0.0,0.0,1.0
1.0,60.647514635191904,0.0,0.0,0.0,0.0
0.0,37.028322408587975,1.0,0.0,0.0,0.0
0.0,7.514944352586596,0.0,1.0,0.0,1.0
0.0,41.52555673202569,0.0,1.0,0.0,1.0
1.0,96.31049321032012,1.0,0.0,0.0,0.0
0.0,52.40822327628621,1.0,0.0,0.0,1.0
0.0,74.35197990291613,0.0,1.0,1.0,1.0
0.0,88.61398200754473,1.0,0.0,0.0,1.0
0.0,42.75850432275119,1.0,0.0,0.0,0.0
1.0,24.343763747707,0.0,1.0,0.0,1.0
0.0,46.13246128130163,1.0,0.0,0.0,1.0
0.0,59.1504937929642,0.0,1.0,1.0,1.0
0.0,68.05754472166888,1.0,1.0,1.0,1.0
1.0,39.01470095646419,0.0,1.0,1.0,1.0
0.0,62.35341224051372,1.0,0.0,0.0,1.0
0.0,44.180198559251686,0.0,1.0,0.0,1.0
0.0,5.8841835370597835,0.0,0.0,0.0,0.0
1.0,53.077358463635775,0.0,0.0,0.0,0.0
0.0,77.77979646125425,0.0,1.0,0.0,1.0
0.0,50.72010948667054,1.0,1.0,1.0,1.0
1.0,75.96919240132115,1.0,0.0,0.0,1.0
1.0,50.010925009651984,0.0,0.0,0.0,0.0
1.0,27.308730099069116,0.0,0.0,1.0,0.0
1.0,33.456665090591116,0.0,1.0,0.0,1.0
1.0,44.9476116923967,0.0,0.0,0.0,0.0
1.0,66.40515005243586,1.0,0.0,0.0,0.0
0.0,63.21403067623293,0.0,1.0,0.0,1.0
0.0,42.287620830705286,0.0,1.0,1.0,1.0
1.0,44.259012430941056,0.0,1.0,1.0,1.0
0.0,84.06873175486307,0.0,1.0,0.0,1.0
0.0,63.30005871296887,0.0,1.0,0.0,1.0
0.0,25.34322419271004,0.0,0.0,0.0,0.0
0.0,50.11374318299518,1.0,0.0,0.0,1.0
0.0,58.919563986466095,0.0,1.0,0.0,1.0
1.0,53.30344588052575,0.0,0.0,0.0,0.0
0.0,56.297827524471835,0.0,0.0,0.0,0.0
1.0,10.261102606071113,1.0,0.0,0.0,1.0
0.0,75.59150107865285,0.0,1.0,1.0,1.0
1.0,27.58063488597618,0.0,1.0,0.0,1.0
1.0,49.563704113915634,0.0,0.0,0.0,0.0
0.0,60.235137229118386,0.0,1.0,1.0,1.0
0.0,32.1560992518979,0.0,0.0,0.0,0.0
0.0,13.03892650115229,0.0,0.0,0.0,0.0
1.0,54.094202399625466,0.0,1.0,0.0,1.0
1.0,47.200553773037996,0.0,0.0,0.0,0.0
1.0,41.56542460456381,0.0,1.0,0.0,1.0
1.0,30.670749362817563,0.0,1.0,1.0,1.0
1.0,7.911253495582471,0.0,1.0,0.0,1.0
1.0,28.33723255174562,0.0,1.0,0.0,1.0
0.0,57.44190513268839,1.0,1.0,1.0,0.0
0.0,56.978258026517054,0.0,1.0,1.0,1.0
1.0,67.53637370350091,0.0,0.0,1.0,0.0
0.0,33.387429586094655,1.0,0.0,0.0,1.0
1.0,15.25201009902348,0.0,1.0,0.0,1.0
0.0,39.07326783337241,0.0,0.0,0.0,0.0
0.0,38.428517009571976,0.0,0.0,0.0,0.0
0.0,85.24937117407333,0.0,1.0,1.0,1.0
1.0,1.5118007418968844,0.0,0.0,0.0,0.0
1.0,47.06979655067308,1.0,0.0,0.0,0.0
1.0,82.47397928740952,1.0,0.0,0.0,0.0
0.0,47.3848136354957,1.0,0.0,0.0,0.0
0.0,21.77321770669851,0.0,0.0,0.0,0.0
0.0,66.50333216468778,0.0,1.0,1.0,1.0
1.0,44.29134714887424,0.0,0.0,0.0,0.0
0.0,100.33727368508158,0.0,1.0,1.0,1.0
1.0,47.81389662985392,1.0,1.0,1.0,0.0
0.0,65.26848686977554,0.0,1.0,0.0,1.0
0.0,56.565702361360636,0.0,1.0,0.0,1.0
0.0,86.86207659054165,0.0,1.0,1.0,1.0
0.0,39.22248887712209,0.0,1.0,0.0,1.0
1.0,48.320637564067795,1.0,0.0,0.0,0.0
0.0,23.623243179898047,0.0,0.0,0.0,0.0
0.0,63.14813146800061,0.0,1.0,0.0,1.0
0.0,72.27315062655646,0.0,0.0,1.0,0.0
1.0,23.597002364179467,0.0,1.0,0.0,1.0
0.0,38.231603964838214,1.0,0.0,0.0,0.0
0.0,46.62921247423755,1.0,0.0,0.0,0.0
0.0,57.28627529696361,1.0,0.0,0.0,0.0
0.0,35.70319021781586,1.0,0.0,0.0,0.0
0.0,56.35511697807855,1.0,0.0,0.0,1.0
0.0,45.687260163123085,0.0,1.0,0.0,1.0
0.0,39.97462523487862,0.0,0.0,1.0,0.0
0.0,26.78751998645271,1.0,1.0,1.0,0.0
1.0,36.059800542446645,0.0,0.0,0.0,0.0
0.0,80.04002162995177,1.0,1.0,1.0,1.0
0.0,72.18317808593328,0.0,1.0,0.0,1.0
1.0,23.803824966949968,1.0,0.0,0.0,0.0
0.0,48.75705660723249,1.0,0.0,0.0,1.0
1.0,83.42728347724432,0.0,1.0,0.0,1.0
0.0,89.44172785661121,0.0,1.0,1.0,1.0
0.0,14.570801692024467,0.0,0.0,0.0,0.0
1.0,44.604329412897286,0.0,0.0,0.0,0.0
1.0,40.20766184960448,1.0,0.0,0.0,0.0
0.0,77.57694785267788,0.0,1.0,1.0,1.0
0.0,72.76251576044831,0.0,1.0,1.0,1.0
1.0,65.76875045935437,0.0,0.0,0.0,0.0
1.0,34.779532386974225,1.0,1.0,1.0,0.0
1.0,48.719469211146205,0.0,1.0,0.0,1.0
0.0,8.524037058786618,0.0,0.0,0.0,0.0
1.0,51.54614704076164,0.0,1.0,0.0,1.0
1.0,39.76004508657417,0.0,0.0,0.0,0.0
0.0,60.9531805322432,0.0,1.0,0.0,1.0
1.0,71.16168933835863,1.0,0.0,0.0,0.0
1.0,58.68838653526026,1.0,0.0,0.0,0.0
0.0,62.21628295923739,0.0,1.0,0.0,1.0
1.0,48.31847250707849,0.0,0.0,0.0,0.0
1.0,53.51975375087219,0.0,1.0,0.0,1.0
0.0,53.7389345548089,1.0,0.0,0.0,1.0
1.0,25.335778844057142,0.0,0.0,0.0,0.0
1.0,50.78528174395815,1.0,1.0,1.0,0.0
1.0,33.14270921268476,0.0,0.0,0.0,0.0
0.0,108.76065459435796,0.0,1.0,0.0,1.0
0.0,20.813419511323232,0.0,0.0,0.0,0.0
0.0,21.733764878640223,0.0,0.0,0.0,0.0
1.0,41.64424389731852,0.0,1.0,0.0,1.0
1.0,52.162311077678766,1.0,0.0,0.0,0.0
1.0,67.14445114720715,1.0,0.0,0.0,0.0
1.0,68.1044057107087,0.0,0.0,0.0,0.0
1.0,34.94417372876783,0.0,0.0,1.0,0.0
1.0,32.47553680542535,1.0,0.0,0.0,1.0
0.0,13.117231584159313,1.0,0.0,0.0,0.0
0.0,49.50809359487315,0.0,0.0,0.0,0.0
0.0,86.54437997710917,0.0,0.0,1.0,0.0
0.0,62.800736454695894,0.0,1.0,0.0,1.0
1.0,24.74504033877281,0.0,0.0,0.0,0.0
0.0,61.25094333743493,0.0,1.0,0.0,1.0
0.0,5.867184048755661,0.0,0.0,1.0,0.0
0.0,27.41231548843372,1.0,0.0,0.0,0.0
0.0,50.43292619669573,0.0,0.0,0.0,0.0
1.0,19.85237902543144,0.0,1.0,0.0,1.0
0.0,73.32385668280622,0.0,0.0,1.0,0.0
1.0,20.62982349942053,1.0,0.0,0.0,0.0
1.0,72.74732808505837,0.0,0.0,0.0,0.0
0.0,95.29248154483045,0.0,1.0,0.0,1.0
1.0,9.647898221442397,0.0,0.0,1.0,0.0
0.0,50.618759512651,0.0,0.0,0.0,0.0
0.0,67.64420383893045,0.0,1.0,0.0,1.0
0.0,61.906474000904595,0.0,1.0,1.0,1.0
0.0,59.133472229227436,0.0,1.0,0.0,1.0
1.0,83.85827487573765,0.0,0.0,0.0,0.0
0.0,40.324649867044364,1.0,0.0,0.0,0.0
1.0,33.278691094272254,1.0,0.0,0.0,0.0
0.0,29.138253048290323,0.0,1.0,0.0,1.0
0.0,41.47306172298704,0.0,0.0,0.0,0.0
1.0,43.281428970293355,1.0,1.0,1.0,0.0
1.0,11.139583039327135,0.0,0.0,0.0,0.0
0.0,20.098587487074777,0.0,0.0,0.0,0.0
1.0,77.4340959648586,1.0,1.0,1.0,0.0
0.0,31.320902347733465,1.0,0.0,0.0,0.0
0.0,38.593943515013365,0.0,0.0,0.0,0.0
0.0,38.401974247893335,0.0,0.0,0.0,0.0
1.0,27.227714846882996,0.0,0.0,0.0,0.0
0.0,67.81799354115657,0.0,1.0,1.0,1.0
0.0,31.947287413588647,0.0,0.0,0.0,0.0
0.0,50.418657329580135,0.0,0.0,0.0,0.0
1.0,49.990360518379525,0.0,0.0,0.0,0.0
0.0,67.36035065815068,0.0,1.0,0.0,1.0
0.0,69.82257445124966,1.0,0.0,0.0,1.0
1.0,86.99864531969143,1.0,0.0,0.0,0.0
0.0,47.4444807917294,0.0,0.0,0.0,0.0
1.0,36.38515342476921,1.0,0.0,0.0,0.0
0.0,82.98130128225498,0.0,1.0,0.0,1.0
0.0,30.177745027969692,0.0,0.0,0.0,0.0
0.0,8.638405681767964,1.0,0.0,0.0,0.0
0.0,49.401011170162874,0.0,0.0,1.0,0.0
1.0,45.21422535056538,1.0,0.0,0.0,0.0
1.0,75.66608713012002,1.0,0.0,0.0,0.0
1.0,43.44909637424562,1.0,0.0,0.0,1.0
1.0,3.997914034468444,0.0,0.0,0.0,0.0
0.0,52.462429867921756,1.0,0.0,0.0,0.0
1.0,42.00707392665548,1.0,0.0,0.0,0.0
1.0,33.21558316439624,1.0,1.0,1.0,0.0
1.0,33.37997737284229,0.0,1.0,0.0,1.0
1.0,67.54588166101053,1.0,0.0,0.0,0.0
1.0,64.7946703391928,1.0,0.0,0.0,0.0
1.0,91.10310832296459,0.0,0.0,1.0,0.0
1.0,65.06722844437992,0.0,0.0,0.0,0.0
1.0,62.963965201527884,0.0,0.0,0.0,0.0
1.0,75.6116950868495,1.0,0.0,0.0,0.0
1.0,78.11252414897874,1.0,0.0,0.0,0.0
0.0,46.77180866623143,0.0,0.0,0.0,0.0
1.0,25.230734733312236,0.0,0.0,0.0,0.0
1.0,45.34821638783177,0.0,1.0,0.0,1.0
1.0,48.21797318018143,1.0,0.0,0.0,0.0
0.0,42.54705188165197,0.0,0.0,0.0,0.0
1.0,42.18718872292983,0.0,0.0,0.0,0.0
0.0,28.941347626860946,1.0,1.0,1.0,1.0
0.0,64.59762306003479,1.0,1.0,1.0,1.0
1.0,62.43232940840453,0.0,0.0,0.0,0.0
0.0,66.40655576932174,0.0,1.0,0.0,1.0
0.0,28.686323962204405,1.0,0.0,0.0,0.0
0.0,58.33849487670926,0.0,1.0,0.0,1.0
1.0,18.402620527773763,0.0,0.0,1.0,0.0
1.0,34.21899068498406,1.0,0.0,0.0,1.0
1.0,25.679886302249663,0.0,1.0,0.0,1.0
1.0,59.52100373982654,0.0,0.0,0.0,0.0
1.0,43.02555416599837,1.0,0.0,0.0,0.0
0.0,53.450800015500135,0.0,0.0,0.0,0.0
1.0,53.988327642012784,0.0,1.0,1.0,1.0
1.0,89.29943379868678,0.0,0.0,0.0,0.0
0.0,55.54863742178403,0.0,1.0,1.0,1.0
1.0,45.69040528895513,1.0,0.0,0.0,1.0
1.0,63.77543835253813,0.0,0.0,0.0,0.0
1.0,39.53400586619726,0.0,0.0,0.0,0.0
1.0,54.80104432045091,1.0,0.0,0.0,1.0
1.0,62.47134814946426,0.0,0.0,0.0,0.0
0.0,46.071842714448316,1.0,0.0,0.0,0.0
0.0,39.43533980635936,1.0,0.0,0.0,0.0
0.0,49.86984978982713,1.0,0.0,0.0,0.0
0.0,71.50524428318373,0.0,1.0,0.0,1.0
1.0,66.6326869066426,0.0,0.0,0.0,0.0
0.0,64.92695121851065,0.0,1.0,0.0,1.0
1.0,53.433257441715845,1.0,1.0,1.0,0.0
1.0,64.6809743083553,0.0,0.0,0.0,0.0
1.0,52.0395576211993,0.0,0.0,0.0,0.0
0.0,58.10259546226789,0.0,1.0,0.0,1.0
1.0,71.96195615855416,0.0,0.0,0.0,0.0
1.0,55.94458135153551,1.0,1.0,1.0,0.0
0.0,47.506849344319,1.0,0.0,0.0,1.0
1.0,40.853183625508194,0.0,1.0,1.0,1.0
1.0,36.696496056620504,0.0,1.0,0.0,1.0
1.0,6.773856219985184,0.0,1.0,1.0,1.0
1.0,34.95402791594851,0.0,1.0,0.0,1.0
1.0,94.34627490916759,1.0,0.0,0.0,0.0
1.0,55.69428483797727,1.0,0.0,0.0,0.0
0.0,57.01903562426581,0.0,1.0,0.0,1.0
1.0,41.56335886515192,1.0,0.0,0.0,1.0
0.0,67.18247464771724,0.0,1.0,0.0,1.0
0.0,10.194326509535607,1.0,0.0,0.0,0.0
1.0,62.18338071842762,1.0,0.0,0.0,0.0
1.0,53.27018557470771,0.0,1.0,0.0,1.0
0.0,50.08598311188965,0.0,0.0,0.0,0.0
1.0,58.14764334233004,1.0,0.0,0.0,0.0
0.0,45.990625885878266,0.0,0.0,0.0,0.0
0.0,40.3034856753883,0.0,0.0,1.0,0.0
0.0,52.866634586063185,1.0,0.0,0.0,1.0
0.0,50.099998486219114,1.0,1.0,1.0,0.0
1.0,33.969105164793,1.0,0.0,0.0,0.0
0.0,57.75318648135464,0.0,1.0,0.0,1.0
0.0,60.8036294461476,0.0,1.0,1.0,1.0
0.0,39.527302759701385,1.0,0.0,0.0,0.0
0.0,46.1332948391439,0.0,0.0,0.0,0.0
0.0,66.13570868080816,0.0,1.0,1.0,1.0
0.0,62.65183475134172,0.0,1.0,0.0,1.0
0.0,71.00837051488952,0.0,1.0,1.0,1.0
0.0,55.2713390658942,0.0,1.0,1.0,1.0
0.0,57.137522005213604,0.0,1.0,0.0,1.0
0.0,40.0667421896365,0.0,0.0,0.0,0.0
0.0,51.5533713794026,0.0,1.0,1.0,1.0
1.0,49.34846088009148,0.0,1.0,0.0,1.0
0.0,57.58202797275271,0.0,1.0,0.0,1.0
1.0,38.57776928815636,0.0,1.0,0.0,1.0
0.0,46.115717132171866,1.0,0.0,0.0,1.0
1.0,60.0458696319473,0.0,0.0,0.0,0.0
0.0,73.05810449216362,0.0,1.0,0.0,1.0
1.0,63.16095311371833,0.0,0.0,0.0,0.0
0.0,27.373739496488835,1.0,0.0,0.0,0.0
0.0,49.04750128212774,0.0,0.0,0.0,0.0
1.0,27.56448043956649,0.0,0.0,0.0,0.0
1.0,32.58732120038495,0.0,1.0,0.0,1.0
0.0,63.481288631809306,0.0,1.0,0.0,1.0
1.0,25.341637333697868,1.0,0.0,0.0,0.0
1.0,82.04449807041756,0.0,0.0,0.0,0.0
1.0,21.9433254837542,1.0,1.0,1.0,0.0
1.0,93.73751985417692,0.0,0.0,0.0,0.0
1.0,63.49808023977598,1.0,0.0,0.0,0.0
0.0,77.109795376962,0.0,1.0,1.0,1.0
0.0,37.974648584821324,1.0,0.0,0.0,0.0
0.0,46.520744751082105,1.0,0.0,0.0,0.0
1.0,69.64597898179059,1.0,0.0,0.0,0.0
1.0,56.93799986915218,0.0,0.0,0.0,0.0
0.0,36.289437536927274,1.0,0.0,0.0,1.0
1.0,47.94545105462064,0.0,1.0,0.0,1.0
1.0,38.54747200863337,0.0,0.0,0.0,0.0
1.0,56.465536475045646,0.0,0.0,1.0,0.0
1.0,58.75247251694955,0.0,1.0,0.0,1.0
0.0,58.06058594620022,1.0,1.0,1.0,1.0
1.0,22.692423840696918,1.0,0.0,0.0,0.0
1.0,69.93221851387453,0.0,0.0,0.0,0.0
1.0,52.56979961647461,0.0,0.0,0.0,0.0
1.0,23.05706968558259,1.0,1.0,1.0,0.0
0.0,26.884585284719616,0.0,0.0,0.0,0.0
1.0,54.672052683855405,1.0,0.0,0.0,1.0
1.0,38.05152900477388,1.0,0.0,0.0,1.0
0.0,51.917744382986605,0.0,1.0,0.0,1.0
1.0,42.32169999148758,0.0,1.0,0.0,1.0
0.0,43.122595972988584,0.0,0.0,0.0,0.0
0.0,60.55161176996936,0.0,1.0,1.0,1.0
1.0,45.21207002545726,0.0,0.0,0.0,0.0
0.0,16.33070133128807,0.0,0.0,0.0,0.0
0.0,22.217895162541605,1.0,0.0,0.0,0.0
0.0,30.24846499351416,0.0,0.0,0.0,0.0
1.0,48.06755708868603,1.0,0.0,0.0,0.0
1.0,73.85317917151957,1.0,0.0,0.0,0.0
0.0,25.70731687498164,1.0,0.0,0.0,0.0
0.0,21.638054131745335,0.0,1.0,0.0,1.0
1.0,58.63310395861041,1.0,0.0,0.0,1.0
0.0,65.11676366316792,0.0,1.0,0.0,1.0
0.0,65.09803839308563,0.0,0.0,1.0,0.0
1.0,69.53050116228943,0.0,0.0,0.0,0.0
1.0,61.15643619705715,1.0,0.0,0.0,0.0
1.0,19.022439121854724,0.0,0.0,0.0,0.0
1.0,59.71920938983117,0.0,0.0,0.0,0.0
0.0,66.11624082406786,0.0,1.0,0.0,1.0
1.0,41.54103749123293,0.0,1.0,0.0,1.0
0.0,56.347302084493776,1.0,1.0,1.0,0.0
0.0,79.20700964968847,0.0,0.0,1.0,0.0
1.0,68.78895766243441,1.0,0.0,0.0,0.0
1.0,67.58429275338688,1.0,0.0,0.0,0.0
1.0,49.81763225696925,0.0,0.0,0.0,0.0
0.0,57.36697874880086,0.0,1.0,0.0,1.0
1.0,40.46196065887058,0.0,1.0,0.0,1.0
1.0,55.003196691187355,0.0,0.0,0.0,0.0
0.0,78.92788914543402,0.0,1.0,0.0,1.0
1.0,91.88816621809721,0.0,0.0,0.0,0.0
1.0,95.69896334859664,0.0,0.0,0.0,0.0
0.0,52.16490889747388,0.0,0.0,0.0,0.0
1.0,90.80712308781477,1.0,0.0,0.0,0.0
0.0,45.068013425384784,0.0,1.0,1.0,1.0
1.0,56.0036781333306,0.0,0.0,0.0,0.0
1.0,81.08882450336239,0.0,1.0,0.0,1.0
1.0,54.28644138924466,0.0,0.0,0.0,0.0
0.0,37.31897483250629,1.0,0.0,0.0,0.0
1.0,32.41170416343831,0.0,1.0,0.0,1.0
0.0,77.58679425170281,0.0,1.0,0.0,1.0
0.0,21.40385546373844,0.0,1.0,0.0,1.0
1.0,29.58958562121697,1.0,0.0,0.0,1.0
1.0,49.34238471219617,1.0,0.0,0.0,0.0
0.0,51.70633428579488,1.0,1.0,1.0,0.0
0.0,48.321668533128765,1.0,0.0,0.0,0.0
1.0,25.354613341534954,0.0,0.0,0.0,0.0
1.0,49.75389244771884,0.0,1.0,0.0,1.0
1.0,86.65865284758101,1.0,0.0,0.0,1.0
1.0,22.54875916782084,1.0,0.0,0.0,1.0
1.0,65.96252035023497,0.0,0.0,0.0,0.0
0.0,25.66167380113375,1.0,0.0,0.0,0.0
0.0,111.00746456785896,0.0,1.0,0.0,1.0
0.0,45.2014255695498,1.0,0.0,0.0,0.0
0.0,-8.946680393854777,0.0,0.0,0.0,0.0
1.0,62.807014815339194,1.0,0.0,0.0,0.0
1.0,59.91333377892646,0.0,1.0,0.0,1.0
1.0,95.50882077862897,0.0,0.0,0.0,0.0
1.0,82.92506570051417,0.0,0.0,0.0,0.0
0.0,41.49028048035021,0.0,0.0,0.0,0.0
0.0,51.363194301961016,0.0,1.0,0.0,1.0
1.0,77.0973933063269,1.0,0.0,0.0,0.0
1.0,35.637667003766545,1.0,1.0,1.0,0.0
0.0,21.940948329705705,1.0,0.0,0.0,0.0
0.0,62.262919602842345,0.0,1.0,0.0,1.0
0.0,54.37923733835926,0.0,0.0,0.0,0.0
1.0,56.26247442794957,1.0,0.0,0.0,0.0
0.0,48.49186852439808,1.0,0.0,0.0,0.0
0.0,53.31562226669191,1.0,0.0,0.0,1.0
0.0,26.575022603032817,1.0,0.0,0.0,0.0
1.0,55.89929639282863,1.0,0.0,0.0,0.0
0.0,72.36308818580439,0.0,0.0,1.0,0.0
